"Id","SalePrice"
1461,116210.988885861
1462,160425.035588264
1463,181571.447041458
1464,194878.01276278
1465,189144.70439494
1466,171400.501228956
1467,176344.903180914
1468,163924.055616661
1469,187239.256452258
1470,123517.3636328
1471,191056.12557425
1472,97664.7741421409
1473,95193.5494973952
1474,146324.352850379
1475,121287.927038908
1476,360283.26291279
1477,251462.19002697
1478,268193.190444241
1479,276301.075581039
1480,547586.013641297
1481,326629.052361746
1482,204883.300597879
1483,170396.742684283
1484,165875.125071128
1485,176507.439461456
1486,192912.069685118
1487,338814.009316452
1488,230739.280145932
1489,199523.481533763
1490,235360.433417843
1491,192437.421657721
1492,88486.1582785157
1493,172457.137956977
1494,279325.340106293
1495,282230.240213296
1496,240005.337859959
1497,179446.856758435
1498,165964.132003921
1499,157997.138626277
1500,151676.645125455
1501,175530.669954002
1502,146732.890063724
1503,277845.620394506
1504,245188.690641816
1505,231236.675194326
1506,187957.422495963
1507,254967.865779402
1508,199248.622442794
1509,158046.583206179
1510,144222.875022713
1511,145847.069960885
1512,172483.267631381
1513,138926.884864984
1514,161703.15230536
1515,197109.734383942
1516,151431.471856379
1517,169073.720262528
1518,132264.598798165
1519,218505.790952082
1520,130628.066682209
1521,130408.023286272
1522,174044.97277286
1523,113228.031634066
1524,119070.483081517
1525,121085.489872517
1526,114317.405988335
1527,104597.843788904
1528,137450.359973822
1529,150749.120488363
1530,179256.727893324
1531,102955.548837397
1532,96210.795206099
1533,143697.12970357
1534,119657.398319268
1535,150964.752735816
1536,107563.134960775
1537,63924.2937015877
1538,159113.521559509
1539,200480.894156854
1540,88999.1048943627
1541,135216.353082101
1542,136859.21801821
1543,197206.139285232
1544,81452.8651309276
1545,112037.571197046
1546,129984.433787088
1547,128475.085630195
1548,131538.454976878
1549,114692.792687079
1550,135581.831988303
1551,106273.397507292
1552,133887.532149404
1553,145116.479583046
1554,121839.09225468
1555,162768.47343934
1556,88215.0992888142
1557,100530.293463408
1558,96222.7830005165
1559,77653.6810794926
1560,126280.619158678
1561,134960.429536275
1562,128274.180412935
1563,123027.861256133
1564,160385.954939082
1565,141676.487382758
1566,240181.41851588
1567,73992.0488722372
1568,231781.455104322
1569,130331.414035346
1570,130302.217961485
1571,113100.920161984
1572,143311.591806424
1573,234328.233215482
1574,119643.92443437
1575,226746.224289031
1576,241998.857232726
1577,178924.952452891
1578,139014.562561248
1579,147342.537234219
1580,190893.860128577
1581,148485.235675088
1582,125456.598589743
1583,317866.685958059
1584,224950.804043058
1585,141926.513821398
1586,72178.0418803783
1587,104946.339044417
1588,154358.111923021
1589,96820.7503505639
1590,135022.736896604
1591,94782.2319664618
1592,112656.480012364
1593,121287.225382946
1594,128350.019064849
1595,108526.175215039
1596,235437.526180768
1597,185714.945188084
1598,210930.597766313
1599,170820.221809809
1600,164841.454771577
1601,64263.2200121398
1602,109012.188981072
1603,74907.9977933736
1604,273283.598849799
1605,241068.073379699
1606,170915.908515893
1607,172213.543317152
1608,200741.170149969
1609,181352.205684454
1610,148338.8658234
1611,136648.859621355
1612,174535.697124537
1613,165864.956084145
1614,126625.15267845
1615,90510.0340110381
1616,79325.6156660358
1617,92371.8840641073
1618,124714.790962889
1619,141258.944910435
1620,165230.852777658
1621,136260.942086878
1622,140405.12353892
1623,283384.802632037
1624,214429.672193029
1625,116055.487757265
1626,166409.669134297
1627,190272.284506403
1628,278287.409027157
1629,175415.883523357
1630,381794.7254049
1631,219544.991186426
1632,251080.682849699
1633,167556.206158589
1634,186263.480767821
1635,176740.861567237
1636,155011.385457837
1637,196481.088028454
1638,188121.330878511
1639,180613.302353492
1640,258970.044789552
1641,176203.831064296
1642,233206.208566982
1643,224455.700964663
1644,232599.682719136
1645,207337.683409104
1646,158825.041504733
1647,151978.818388358
1648,131984.688155408
1649,141863.539904712
1650,118068.979280311
1651,120657.733849458
1652,99216.4255752812
1653,101204.720037302
1654,145767.670417195
1655,140934.911957314
1656,141979.416229922
1657,147747.702577134
1658,146991.963255374
1659,127403.317556015
1660,153267.046491076
1661,473146.424322823
1662,404815.772467106
1663,394346.894026504
1664,573921.187357151
1665,296586.929157551
1666,330010.434000731
1667,370531.861912133
1668,334953.965255163
1669,294471.955514488
1670,346406.487318162
1671,262002.988194985
1672,478657.522153698
1673,297195.153403474
1674,246119.003954204
1675,194928.538767843
1676,196921.066397162
1677,217867.736544077
1678,518330.277312503
1679,393492.727609546
1680,331392.114658182
1681,237582.643814423
1682,310564.296561762
1683,187762.989662323
1684,173116.648792806
1685,173971.888745096
1686,170629.974754073
1687,167800.215943132
1688,190725.270139931
1689,194329.130782109
1690,196954.818740211
1691,182701.451542701
1692,256425.734311812
1693,163613.474393586
1694,180502.411732283
1695,164500.734677714
1696,268643.288020652
1697,168793.831754323
1698,350802.282593905
1699,302755.16926132
1700,247159.052495578
1701,266978.296936552
1702,242555.09212112
1703,241601.803549882
1704,291742.584705514
1705,234307.616678118
1706,458972.383114247
1707,215408.981131703
1708,200845.875922165
1709,263735.303681804
1710,220867.891213827
1711,263143.732451231
1712,266168.213187096
1713,275158.040111209
1714,224216.211080601
1715,207126.966506788
1716,184610.853740386
1717,172311.90040274
1718,136655.207681679
1719,204555.126678256
1720,228445.740960812
1721,159341.922520139
1722,123996.469067932
1723,151186.65964218
1724,207624.269593741
1725,238300.134589154
1726,183819.152425881
1727,158089.8401189
1728,170991.035297986
1729,161988.368371982
1730,149252.67425118
1731,120408.082674175
1732,131377.056538679
1733,115882.81885975
1734,120095.768901514
1735,130360.715491865
1736,112660.828561104
1737,316395.588127098
1738,230647.08251214
1739,256833.703425338
1740,219645.531819294
1741,193574.876536303
1742,170882.052194966
1743,176723.364522739
1744,319869.132481735
1745,217925.565903511
1746,189550.470337664
1747,217551.512632624
1748,232213.853061004
1749,150746.53188713
1750,129351.001156572
1751,251251.450946489
1752,119665.306116016
1753,149250.115191259
1754,192930.474042073
1755,169822.410128101
1756,128268.894819717
1757,119403.819789171
1758,142546.284549164
1759,161804.071653815
1760,161312.348567093
1761,141115.256889736
